# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Norway	Europe	Norwegian krone	Bokmål|Norwegian|Nynorsk|Sámi	right	0	African Development Bank|Arctic Council|Asian Development Bank|Australia Group|Bank for International Settlements|Barents Euro-Arctic Council|CGIAR|Council of Europe|Council of the Baltic Sea States|EFTA Court|Eurocontrol|European Alliance|European Economic Area|European Free Trade Association|European Payments Union|European Space Agency|Global Biodiversity Information Facility|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nordic Battle Group|Nordic Council|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Schengen Implementing Convention|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Earth|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|representative democracy	UTC+01:00
Oman	Asia	Omani rial	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab Information and Communication Technologies Organization|Arab League|Arab Monetary Fund|Cooperation Council for the Arab States of the Persian Gulf|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Fund for Agricultural Development|International Hydrographic Organization|International Maritime Organization|International Organization for Migration|International Renewable Energy Agency|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations Convention on the Law of the Sea|Universal Postal Union|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|World Trade Organization	absolute monarchy	Asia/Muscat|UTC+04:00
Pakistan	Asia	Pakistani rupee	English|Urdu	left	0	ASEAN Regional Forum|Asian Development Bank|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Shanghai Cooperation Organisation|Southeast Asia Treaty Organization|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	federal republic|parliamentary republic	Asia/Karachi|UTC+05:00
Palestine	Asia	new shekel	Arabic|Spanish	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Civil Defence Organisation|Interpol|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|UNESCO|World Customs Organization	parliamentary republic|semi-presidential system|unitary state	Asia/Jerusalem|UTC+02:00|UTC+03:00
Panama	North America	Panamanian balboa|United States dollar	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system	America/Panama
Papua New Guinea	Oceania	kina	English|Hiri Motu|Papua New Guinean Sign Language|Tok Pisin	left	0	ASEAN Regional Forum|Alliance of Small Island States|Asia-Pacific Economic Cooperation|Asian Development Bank|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Pacific/Port_Moresby|UTC+10:00|UTC+11:00
Peru	South America	Nuevo sol	Aymara|Quechua|Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Asia-Pacific Economic Cooperation|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system	
Philippines	Asia	Philippine peso	English|Filipino|Taglish	right	0	ASEAN|ASEAN Regional Forum|Asia-Pacific Economic Cooperation|Asian Development Bank|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Southeast Asia Treaty Organization|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Asia/Manila|Philippine Standard Time
Poland	Europe	złoty	Polish	right	0	Australia Group|COMECON|Convention on preventing and combating violence against women and domestic violence|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Monetary Fund|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|Visegrád Group|Warsaw Pact|Weimar Triangle|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|World Trade Organization	parliamentary system|semi-presidential system|unitary state	Central European Summer Time|Central European Time|UTC+01:00|UTC+02:00
Portugal	Europe		Portuguese	right	0	African Development Bank|Asian Development Bank|Australia Group|Community of Portuguese Language Countries|Council of Europe|Eurocontrol|European Economic Area|European Free Trade Association|European Payments Union|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	UTC±00:00
Qatar	Asia	Qatari riyal	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Asia/Qatar|UTC+03:00
Republic of the Congo	Africa	Central African CFA franc	French	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Bank of Central African States|Economic Community of Central African States|Economic and Monetary Community of Central Africa|Group on Earth Observations|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Trade Organization	parliamentary republic	UTC+01:00
Romania	Europe	Romanian Leu	Romanian	right	0	Australia Group|COMECON|Council of Europe|Eurocontrol|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Warsaw Pact|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	semi-presidential system|unitary state	UTC+02:00
Russia	Asia|Eurasia|Europe	Russian ruble	Russian	right	0	ASEAN Regional Forum|Arctic Council|Asia-Pacific Economic Cooperation|BRIC|BRICS|Barents Euro-Arctic Council|Central Asian Cooperation Organization|Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|Council of the Baltic Sea States|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Shanghai Cooperation Organisation|Treaty on Open Skies|UNESCO|Union State|United Nations|United Nations Security Council|Universal Postal Union|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	super-presidential republic	UTC+02:00
Rwanda	Africa	Rwandan franc	English|French|Kinyarwanda|Swahili	right	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|East African Community|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations Security Council|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	semi-presidential system	Africa/Kigali|UTC+02:00
Saint Kitts and Nevis	North America	Eastern Caribbean dollar	English	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Health Organization|World Trade Organization	constitutional monarchy|federal monarchy	America/St_Kitts|UTC−04:00
Saint Lucia	North America	Eastern Caribbean dollar	English	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	America/St_Lucia|UTC−04:00
Saudi Arabia	Asia	Saudi riyal	Arabic	right	0	African Development Bank|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|Asian Infrastructure Investment Bank|Cooperation Council for the Arab States of the Persian Gulf|G20|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	absolute monarchy|islamic theocracy|monarchy	Asia/Riyadh|UTC+03:00
Senegal	Africa	West African CFA franc	Badyara|Balanta|French|Wolof	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Groundnut Council|African Union|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system	Africa/Dakar|UTC±00:00
Serbia	Europe	Serbian dinar	Serbian	right	1	Central European Free Trade Agreement|Council of Europe|Eurocontrol|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Organization of the Black Sea Economic Cooperation|Partnership for Peace|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization		UTC+01:00
Seychelles	Africa	Seychellois rupee	English|French|Seychellois Creole	left	0	African Continental Free Trade Area|African Development Bank|African Union|Alliance of Small Island States|Commonwealth of Nations|Francophonie|Group on Earth Observations|Indian Ocean Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization		Indian/Mahe|UTC+04:00
Sierra Leone	Africa	leone	English|Krio	right	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Economic Community of West African States|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Mano River Union|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system	Africa/Freetown|UTC±00:00
Singapore	Asia	Singapore dollar	English|Malay|Standard Chinese|Tamil	left	0	ASEAN|ASEAN Regional Forum|Alliance of Small Island States|Asia-Pacific Economic Cooperation|Asian Development Bank|Commonwealth of Nations|Creative Cities Network|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of World Heritage Cities|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	Asia/Singapore|Singapore Standard Time|UTC+08:00
Slovakia	Europe		Slovak	right	1	Australia Group|Eurocontrol|European Economic Area|European People's Party|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|Visegrád Group|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+01:00|UTC+02:00
Slovenia	Europe		Slovene	right	0	Australia Group|Council of Europe|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	democratic republic	UTC+01:00
Solomon Islands	Insular Oceania|Oceania	Solomon Islands dollar	English	left	0	Alliance of Small Island States|Asian Development Bank|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Pacific/Guadalcanal|UTC+10:00|UTC+11:00
South Africa	Africa	rand	Afrikaans|English|Northern Sotho|Sesotho|South African Sign Language|Southern Ndebele|Swazi|Tsonga|Tswana|Venda|Xhosa|Zulu	left	0	African Continental Free Trade Area|African Development Bank|African Union|BRICS|Commonwealth of Nations|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Customs Union|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	apartheid|parliamentary republic|representative democracy	Africa/Johannesburg|UTC+02:00|UTC+03:00
South Korea	Asia	Korean mun|won	Korean|Korean Sign Language	right	0	ASEAN Regional Forum|African Development Bank|Antarctic Treaty System|Asia-Pacific Economic Cooperation|Asian Development Bank|Australia Group|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Energy Agency|International Finance Corporation|International Hydrographic Organization|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|republic	Asia/Seoul|Korea Standard Time|UTC+09:00
Spain	Europe		Spanish	right	0	African Development Bank|Asian Development Bank|Australia Group|Central American Bank for Economic Integration|Council of Europe|Eurocontrol|European Air Transport Command|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Organization of Ibero-American States|Pyrenees–Mediterranean Euroregion|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations Security Council|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|member states of the Organization of Ibero-American States	parliamentary monarchy	Europe/Madrid|UTC+01:00|UTC+02:00|UTC±00:00
Sri Lanka	Asia	Sri Lankan rupee	Sinhala|Tamil	left	0	ASEAN Regional Forum|Asian Development Bank|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Asia/Colombo|UTC+05:30
Suriname	South America	Surinamese dollar|Surinamese guilder	Dutch	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Dutch Language Union|International Bank for Reconstruction and Development|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	America/Paramaribo|UTC−03:00
Sweden	Europe	Swedish krona	Swedish	right	0	African Development Bank|Arctic Council|Asian Development Bank|Australia Group|Barents Euro-Arctic Council|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Alliance|European Free Trade Association|European Payments Union|European Southern Observatory|European Space Agency|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Kalmar Union|League of Nations|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nordic Battle Group|Nordic Council|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Partnership for Peace|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union between Sweden and Norway|United Earth|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|representative democracy	UTC+01:00
Switzerland	Europe	Swiss franc	French|German|Italian|Romansh	right	1	African Development Bank|Asian Development Bank|Australia Group|Council of Europe|Eurocontrol|European Free Trade Association|European Payments Union|European Southern Observatory|European Space Agency|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	directorial system|federal republic	UTC+01:00
Syria	Asia	Syrian pound	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	provisional government	Asia/Damascus|UTC+03:00
Tajikistan	Asia	Tajikistani somoni	Tajik	right	1	Asian Development Bank|Central Asian Cooperation Organization|Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|Group on Earth Observations|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Security and Co-operation in Europe|Shanghai Cooperation Organisation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system	Asia/Dushanbe|UTC+05:00
